1,0.0,1713,府中本町,ふちゅうほんまち
2,1.7,1676,北府中,きたふちゅう
2,3.9,122,西国分寺,にしこくぶんじ
2,7.4,1677,新小平,しんこだいら
2,13.0,1678,新秋津,しんあきつ
2,15.7,1679,東所沢,ひがしところざわ
2,19.7,1680,新座,にいざ
2,22.8,1681,北朝霞,きたあさか
2,27.8,1682,西浦和,にしうらわ
2,29.8,1683,武蔵浦和,むさしうらわ
2,31.7,2930,南浦和,みなみうらわ
2,35.4,1684,東浦和,ひがしうらわ
2,39.2,1685,東川口,ひがしかわぐち
2,43.5,1686,南越谷,みなみこしがや
2,46.3,4669,越谷レイクタウン,こしがやれいくたうん
2,48.2,1687,吉川,よしかわ
2,49.9,4698,吉川美南,よしかわみなみ
2,51.3,1688,新三郷,しんみさと
2,53.4,1689,三郷,みさと
2,55.4,1690,南流山,みなみながれやま
2,57.5,944,新松戸,しんまつど
2,61.6,1691,新八柱,しんやはしら
2,64.0,1692,東松戸,ひがしまつど
2,65.9,1693,市川大野,いちかわおおの
2,68.9,1694,船橋法典,ふなばしほうてん
2,71.8,2666,西船橋,にしふなばし
